img_id,path,obj_main,ann_id_main,obj_n,ann_id_n
000000000785,coco2014/image/000000000785.jpg,person,442619,skis,609541
000000002149,coco2014/image/000000002149.jpg,bowl,709513,apple,1047376
000000007784,coco2014/image/000000007784.jpg,kite,623269,,
000000010764,coco2014/image/000000010764.jpg,person,471070,baseball glove,635135
000000011051,coco2014/image/000000011051.jpg,tie,298197,"person, person","530192, 539627"
000000013004,coco2014/image/000000013004.jpg,banana,1043946,dining table,1091866
000000013597,coco2014/image/000000013597.jpg,cake,1086039,dining table,1617660
000000020059,coco2014/image/000000020059.jpg,zebra,591261,zebra,592307
000000021604,coco2014/image/000000021604.jpg,tie,295327,person,506315
000000023359,coco2014/image/000000023359.jpg,person,554422,snowboard,615828
000000032081,coco2014/image/000000032081.jpg,person,469488,tennis racket,657735
000000079188,coco2014/image/000000079188.jpg,giraffe,596097,,
000000568690,coco2014/image/000000568690.jpg,cat,51485,toilet,1092201
000000578967,coco2014/image/000000578967.jpg,train,170646,,
000000579091,coco2014/image/000000579091.jpg,broccoli,1057681,"broccoli, broccoli","1059582, 1060382"
000000579818,coco2014/image/000000579818.jpg,train,172243,"person, person","198899, 203329"
000000579893,coco2014/image/000000579893.jpg,stop sign,270263,,
000000580757,coco2014/image/000000580757.jpg,fire hydrant,417712,,
000000581206,coco2014/image/000000581206.jpg,hot dog,567,"hot dog, person","1363, 458653"
000000581317,coco2014/image/000000581317.jpg,cell phone,327762,person,460897
000000581615,coco2014/image/000000581615.jpg,toilet,1092326,,
