mode,target_type,target,layer,n,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
A,object,1,28,2325,0.0987,0.0715,0.1692,0.1343,0.7768,0.1751
A,object,1_airplane,28,35,0.098,0.074,0.1353,0.1007,0.7932,0.1744
A,object,1_apple,28,25,0.184,0.1091,0.6976,0.0184,0.7792,0.2977
A,object,1_bird,28,91,0.1209,0.1014,0.144,0.1295,0.7942,0.2099
A,object,1_boat,28,35,0.0378,0.0335,0.0388,0.1623,0.767,0.072
A,object,1_bowl,28,22,0.1726,0.1252,0.3236,0.0839,0.7458,0.2803
A,object,1_boy,28,39,0.1022,0.0689,0.1617,0.1895,0.7893,0.181
A,object,1_bride,28,94,0.1222,0.0813,0.2081,0.1108,0.773,0.211
A,object,1_car,28,105,0.1551,0.0883,0.3862,0.0708,0.7749,0.2585
A,object,1_cat,28,124,0.1433,0.0967,0.2638,0.1054,0.7753,0.2419
A,object,1_catcher,28,53,0.1187,0.1021,0.1598,0.1257,0.7813,0.2061
A,object,1_cell phone,28,46,0.0246,0.0255,0.0247,0.2663,0.789,0.0477
A,object,1_dog,28,193,0.1051,0.0771,0.1803,0.1076,0.784,0.1853
A,object,1_doughnut,28,24,0.1053,0.0978,0.0978,0.1248,0.7786,0.1856
A,object,1_elephants,28,62,0.1631,0.0983,0.5087,0.0209,0.7689,0.2691
A,object,1_fork,28,36,0.0444,0.0348,0.0409,0.2797,0.7543,0.0838
A,object,1_frisbee,28,46,0.0659,0.0561,0.0857,0.2481,0.7664,0.1214
A,object,1_horse,28,150,0.0734,0.0563,0.1169,0.148,0.7738,0.1341
A,object,1_horses,28,115,0.1031,0.0608,0.168,0.0762,0.7704,0.1818
A,object,1_hot dog,28,42,0.1718,0.1538,0.1601,0.1184,0.7332,0.2783
A,object,1_kite,28,33,0.1256,0.1022,0.1422,0.1172,0.7806,0.2164
A,object,1_man,28,146,0.1059,0.0646,0.2073,0.1152,0.7755,0.1863
A,object,1_person,28,192,0.0843,0.0675,0.1003,0.1854,0.7865,0.1523
A,object,1_pizza,28,61,0.0997,0.0703,0.1616,0.1081,0.7684,0.1765
A,object,1_player,28,110,0.0841,0.0658,0.1163,0.1121,0.7825,0.1519
A,object,1_scissors,28,38,0.0815,0.0762,0.0922,0.1578,0.7871,0.1477
A,object,1_skateboarder,28,28,0.0304,0.0327,0.0342,0.1761,0.7556,0.0584
A,object,1_suitcase,28,53,0.0771,0.0661,0.1028,0.2673,0.7781,0.1403
A,object,1_surfer,28,106,0.0304,0.0347,0.0283,0.2045,0.803,0.0585
A,object,1_tent,28,65,0.0915,0.0447,0.2225,0.0871,0.773,0.1637
A,object,1_toothbrush,28,15,0.0391,0.0468,0.0361,0.1708,0.7564,0.0743
A,object,1_umbrella,28,37,0.0287,0.0272,0.0286,0.2255,0.7725,0.0553
A,object,1_woman,28,104,0.1028,0.0745,0.1663,0.1024,0.7553,0.181
A,object,2,28,2369,0.1012,0.074,0.1754,0.1254,0.7777,0.179
A,object,2_airplane,28,35,0.098,0.074,0.1353,0.1007,0.7932,0.1744
A,object,2_baby,28,15,0.209,0.1336,0.6845,0.0178,0.7564,0.3275
A,object,2_bird,28,91,0.1209,0.1014,0.144,0.1295,0.7942,0.2099
A,object,2_boat,28,35,0.0378,0.0335,0.0388,0.1623,0.767,0.072
A,object,2_boy,28,39,0.1022,0.0689,0.1617,0.1895,0.7893,0.181
A,object,2_bride,28,28,0.1238,0.0921,0.2377,0.0761,0.7578,0.2128
A,object,2_cat,28,170,0.1235,0.0889,0.2117,0.1179,0.7719,0.213
A,object,2_catcher,28,53,0.1187,0.1021,0.1598,0.1257,0.7813,0.2061
A,object,2_dog,28,298,0.0941,0.0721,0.1516,0.1193,0.7813,0.1679
A,object,2_elephants,28,62,0.1631,0.0983,0.5087,0.0209,0.7689,0.2691
A,object,2_groom,28,66,0.1001,0.0644,0.1649,0.1148,0.7795,0.1774
A,object,2_hand,28,38,0.1223,0.0778,0.359,0.0449,0.7871,0.2118
A,object,2_horse,28,75,0.0847,0.0616,0.1429,0.1193,0.7639,0.1525
A,object,2_horses,28,46,0.1434,0.0835,0.2698,0.0485,0.7545,0.241
A,object,2_hot dog,28,42,0.1718,0.1538,0.1601,0.1184,0.7332,0.2783
A,object,2_individuals,28,24,0.1007,0.0762,0.156,0.0911,0.7568,0.1778
A,object,2_jockeys,28,69,0.0201,0.0222,0.0205,0.1408,0.7811,0.0393
A,object,2_kite,28,33,0.1256,0.1022,0.1422,0.1172,0.7806,0.2164
A,object,2_man,28,131,0.0749,0.0528,0.1212,0.1585,0.7873,0.1367
A,object,2_person,28,328,0.0886,0.0652,0.122,0.1759,0.784,0.1591
A,object,2_player,28,110,0.1049,0.0787,0.1629,0.0926,0.7825,0.185
A,object,2_skateboarder,28,28,0.0304,0.0327,0.0342,0.1761,0.7556,0.0584
A,object,2_surfer,28,153,0.0331,0.0352,0.0323,0.1875,0.795,0.0636
A,object,2_woman,28,363,0.1219,0.082,0.2566,0.1169,0.7691,0.2104
A,object,2_women,28,37,0.1629,0.1096,0.2752,0.0718,0.7725,0.2691
A,object,3,28,1790,0.1261,0.0797,0.3222,0.0803,0.7782,0.217
A,object,3_first_apple,28,25,0.0823,0.0544,0.1258,0.1537,0.7792,0.1489
A,object,3_first_baby,28,15,0.209,0.1336,0.6845,0.0178,0.7564,0.3275
A,object,3_first_banana,28,22,0.0949,0.0805,0.1465,0.1136,0.7458,0.1684
A,object,3_first_cat,28,110,0.1152,0.0872,0.1884,0.1273,0.7761,0.2007
A,object,3_first_dog,28,171,0.0708,0.0595,0.0899,0.1451,0.7827,0.1299
A,object,3_first_elephant,28,62,0.0391,0.0365,0.0391,0.2386,0.7689,0.0745
A,object,3_first_fork,28,36,0.0444,0.0348,0.0409,0.2797,0.7543,0.0838
A,object,3_first_groom,28,66,0.1557,0.0878,0.3732,0.0457,0.7795,0.2595
A,object,3_first_horse,28,59,0.0677,0.0617,0.0923,0.1681,0.7609,0.1243
A,object,3_first_jockeys,28,69,0.0201,0.0222,0.0205,0.1408,0.7811,0.0393
A,object,3_first_man,28,101,0.0855,0.0546,0.1407,0.118,0.7782,0.154
A,object,3_first_oven,28,80,0.0201,0.0217,0.0232,0.2196,0.7847,0.0392
A,object,3_first_person,28,283,0.0833,0.0629,0.1141,0.1824,0.7851,0.1507
A,object,3_first_pizza,28,61,0.0997,0.0703,0.1616,0.1081,0.7684,0.1765
A,object,3_first_player,28,68,0.0774,0.0563,0.113,0.1175,0.7993,0.1412
A,object,3_first_scissors,28,38,0.0815,0.0762,0.0922,0.1578,0.7871,0.1477
A,object,3_first_skateboarder,28,28,0.0304,0.0327,0.0342,0.1761,0.7556,0.0584
A,object,3_first_sports ball,28,39,0.012,0.0152,0.0095,0.3971,0.7893,0.0237
A,object,3_first_surfer,28,153,0.0309,0.0328,0.0301,0.1925,0.795,0.0595
A,object,3_first_woman,28,267,0.1094,0.0775,0.1992,0.1264,0.7665,0.1915
A,object,3_first_women,28,37,0.1629,0.1096,0.2752,0.0718,0.7725,0.2691
A,object,3_second_bed,28,113,0.1266,0.0822,0.2599,0.1125,0.7902,0.2182
A,object,3_second_bench,28,75,0.1024,0.057,0.2755,0.062,0.8017,0.1815
A,object,3_second_bowl,28,47,0.1786,0.1166,0.5224,0.0491,0.7636,0.2895
A,object,3_second_boy,28,39,0.1022,0.0689,0.1617,0.1895,0.7893,0.181
A,object,3_second_car,28,105,0.1551,0.0883,0.3862,0.0708,0.7749,0.2585
A,object,3_second_carrot,28,36,0.0629,0.0528,0.0722,0.2928,0.7543,0.1162
A,object,3_second_chair,28,84,0.0868,0.052,0.247,0.0887,0.7505,0.1557
A,object,3_second_couch,28,50,0.1857,0.0997,0.6571,0.0168,0.7728,0.2994
A,object,3_second_dining table,28,61,0.1685,0.0987,0.5514,0.0396,0.7684,0.2764
A,object,3_second_elephant,28,62,0.1573,0.0951,0.4696,0.0227,0.7689,0.2612
A,object,3_second_hand,28,38,0.1223,0.0778,0.359,0.0449,0.7871,0.2118
A,object,3_second_horse,28,219,0.0721,0.0498,0.1073,0.134,0.7761,0.1319
A,object,3_second_man,28,125,0.11,0.0732,0.194,0.1596,0.7792,0.1928
A,object,3_second_person,28,41,0.0988,0.0612,0.169,0.1054,0.7767,0.1754
A,object,3_second_player,28,68,0.0705,0.0618,0.0763,0.1167,0.7993,0.1296
A,object,3_second_sink,28,33,0.1186,0.0737,0.3324,0.0834,0.8,0.2065
A,object,3_second_skateboard,28,28,0.0037,0.0045,0.005,0.2427,0.7556,0.0075
A,object,3_second_skis,28,98,0.0276,0.0256,0.0256,0.2416,0.7726,0.0532
A,object,3_second_suitcase,28,53,0.0771,0.0661,0.1028,0.2673,0.7781,0.1403
A,object,3_second_surfboard,28,135,0.0085,0.0108,0.0077,0.2437,0.7987,0.0168
A,object,3_second_surfer,28,47,0.0093,0.0123,0.0071,0.3335,0.7767,0.0184
A,object,3_second_tent,28,65,0.0915,0.0447,0.2225,0.0871,0.773,0.1637
A,object,3_second_toothbrush,28,15,0.0391,0.0468,0.0361,0.1708,0.7564,0.0743
A,object,3_second_umbrella,28,103,0.0472,0.0322,0.0564,0.2202,0.777,0.0891
A,object,3_second_woman,28,50,0.139,0.0872,0.2312,0.1618,0.7647,0.2353
